Gene	log2FoldChange	-log10FDR	product
TNNT2	-9.40970586724669	73.32595608972306	-689.9756792389402
SH3BGRL3	5.557970084167187	83.79833815814688	465.748656585906
ACTC1	-10.251736126875526	41.78627404708674	-428.38185525604035
MYL4	-11.243002268643046	28.18423424590425	-316.8754095666685
SRGN	9.99287178639967	29.89152300804502	298.70215691960965
HSPB7	-9.953601983943907	28.501493063436747	-283.6925179015875
MYOM1	-7.0833837401482755	39.328769857784785	-278.58076893066635
MYL7	-14.836435571459116	18.749000708914803	-278.1683410470558
SERF2	5.950335457373932	45.66176653387638	271.70282845285504
MYH7	-14.619535937788768	18.29430560592143	-267.45425826265887
TNNC1	-11.924648853795762	21.561920782072526	-257.1183339395762
MYH6	-13.855562997583327	18.18196705819599	-251.92138999481935
COL18A1	-6.236412089081803	38.82676110984149	-242.13968236530667
FBN2	-5.5828421803045725	39.393718130276774	-219.92891121673816
NUPR1	8.977724779483076	24.35514271402896	218.6537682515845
NCAM1	-7.515706361923749	28.4045602265993	-213.48033400269867
FHOD3	-6.431940818610809	33.022669805690505	-212.39985786272743
TIMP1	6.945565376819075	29.088613745353907	202.03686848939353
NEBL	-11.049453325244444	17.907182854385034	-197.86458113614503
MYL3	-13.587584235294084	14.418176389105593	-195.90818620630054
LDB3	-8.984609092049306	21.521946696476537	-193.3662779677636
MMP15	-7.906514090187532	23.804969121840404	-188.21432377831027
SP100	5.05087763634294	35.688523106133054	180.25836323087572
PLN	-9.122798680691245	19.742536677571252	-180.10718755564554
NUDT4	-3.672416474015851	48.497741624721485	-178.10390529519145
NPPB	-10.447139972229744	16.79913185682831	-175.50288192022913
CORIN	-7.235174194339384	23.99314423590391	-173.59457801667472
NES	-7.0800997652739	24.46504729275381	-173.2149755948411
ACTN2	-12.221184065294697	13.88798524728614	-169.7276240031812
EPB41L3	-5.893409880946996	28.77197043651029	-169.5650148648446
NMI	5.97972943765983	27.60488797410335	165.06976124204763
TMOD1	-10.073002496688286	16.327595496428106	-164.46791020043673
SMYD1	-11.996738493777872	13.652004587400405	-163.77952895089854
TNNI1	-12.049163848819308	13.483443098075346	-162.46421513494167
MYBPC3	-12.236520068196544	13.036297836384442	-159.5189200899054
ALPK3	-7.2581129353038705	21.371799953424258	-155.11893769267527
SLC8A1	-5.669835570537261	27.345508488959855	-155.0445367251332
OBSL1	-3.852029130338838	40.14449265077917	-154.63775511347475
PCDH7	-6.979229733819842	22.06989505600969	-154.03086779718635
TNFRSF19	-6.104665642156157	24.981663395213502	-152.50470221267
ENY2	3.70731874193462	40.24894244804588	149.21565868068836
COL2A1	-9.500561559111697	15.69655473231976	-149.1260845003699
PPP1R12B	-4.816519683728113	30.924430793846515	-148.94812962664952
KRT8	-8.116810844697051	18.315582014780187	-148.66411472450608
PPP1R14C	-7.800895841718674	18.996199423198536	-148.18737308888814
MINOS1	5.016682303567168	29.458355444723846	147.78321045173766
TECRL	-11.272032038262296	12.881586430350723	-145.2016549465582
NPPA	-9.043811681167824	15.728670164045758	-142.24713095883286
ENO3	-7.03731427905596	19.497449794615846	-137.2096818448268
PTPRD	-5.739266567815685	23.73063800382752	-136.1964573283036
CDH3	-12.316416865148218	10.838606284676146	-133.49279323928675
JPH2	-6.240855670050291	21.33849203860221	-133.1704490294336
MYL2	-11.255410819239888	11.555283164093572	-130.0594591445193
TRDN	-8.603373903047805	14.852825954426978	-127.78441520282817
XIRP1	-9.119540974165682	13.875441750236988	-126.5376595759354
CKM	-11.192301887825598	11.254871028610687	-125.96791426075302
BCAM	-5.792336566209821	21.639096962235875	-125.34093259411871
PRSS35	-6.700922939488414	18.414050135818922	-123.39113096399876
EEF1A2	-11.056227438237004	11.070943030571236	-122.40286410176043
PRR16	5.246767752651298	23.328069619331128	122.396963410311
ITGBL1	9.958391376051814	12.273383201995093	122.22315343372715
ANXA5	4.136652718181194	28.865051306331026	119.40469294677386
CMTM5	-13.185772473971536	8.927188429644245	-117.71187546556027
LSM5	3.891743054694181	30.195529466566676	117.51324208432435
SPINT2	-6.0510960374611935	19.254197673351307	-116.50899924571063
POPDC2	-10.873620877757299	10.621105641616884	-115.48987604955119
C3orf14	5.2154243579184	22.007803079024708	114.78003224261703
CSRP3	-11.19939763024648	10.155043379981509	-113.73036876481511
GBP1	5.061335848800603	22.310625550216457	112.92156890647723
PID1	5.892354113523652	18.977732458411737	111.82351991667372
