Gene Name	log2FoldChange	-log10FDR	product
C1QA	15.570645386237281	116.2737145050043	1810.4567762980162
C1QB	14.987624175372142	51.439713331508244	770.9590911015256
RGS5	-7.360773890356432	98.63740475070234	-726.0476335014894
COL2A1	-11.607264028945991	56.23686362564452	-652.7561242626848
HBA2	16.44262836522608	37.580119798712765	617.9159437709087
BUB1	-6.066097980019873	97.87662320701537	-593.7291863272422
TOP2A	-7.323743781174438	63.34102599869285	-463.8934452511352
CDH3	-12.94577361936925	35.680503917928945	-461.9117263465257
FBN2	-5.207098760811023	80.41641386775694	-418.7362089996636
APOD	14.28262370441798	27.257944794497	389.3149684555995
PBK	-7.48364844179943	51.56319113628405	-385.88079500125826
FGF13	-7.580646010799209	50.01931579425382	-379.1787267386161
KIF20A	-6.61026706228024	56.94278173233697	-376.40699451988
DEPDC1	-7.715197880808394	48.366814733233184	-373.15954653129285
CENPF	-6.977666692973959	50.99778265394947	-355.84552943998835
SH3GL3	-9.722046637936607	34.87582896168214	-339.06443570217397
CCL11	12.796435456108235	26.339795261078212	337.0554899854929
DLGAP5	-7.234949164253264	45.32927794602361	-327.9550215917874
HBA1	12.588609789216394	25.780439420681958	324.5398920614971
LMNB1	-5.380179784059092	60.0664052797861	-323.16805938740555
LRRN4	-8.299743444031298	38.92778210909283	-323.0906043506221
CRB2	-10.425912575744693	29.700926478385753	-309.6592628822706
CD24	-7.573397324106839	38.24660802438227	-289.65675886801984
FREM2	-12.113919021733894	23.612683798254675	-286.04213941786503
LCN6	12.745266877808321	21.72830765295542	276.9330798400418
PLA2G5	13.087580894234021	21.053978419155843	275.5456457061594
CTSD	4.5411080941408235	59.078751980242934	268.2829988092194
CASQ2	7.686143161126014	34.756971505832695	267.1470588410077
ASPM	-7.498221633416511	35.60984022832259	-267.010474362514
EPB41L3	-4.791781207996665	55.6137520663442	-266.48893205769383
NEK2	-7.32949746752203	35.89226249972737	-263.0722470953877
GPIHBP1	14.725721122361712	17.37211926088274	255.8169835401677
GPX3	6.178157004963251	41.37277584872288	255.60750492456168
MYL2	7.010836671033559	35.65180723972113	249.9489975848566
CCL14	11.439720167796324	21.706190081813425	248.31274044494157
MEX3A	-7.573494842124416	32.7796868262942	-248.2567891053928
SAPCD1	11.165338591062817	22.01683592938848	245.82542785549958
KIF14	-8.036817260813176	28.971759654698786	-232.840738069014
GUCA1C	12.26079484239773	18.691225503189596	229.16928124759994
RAMP3	15.056719141372698	15.170997194813353	228.42544385685773
KIF4A	-6.433331099241398	35.29845794449233	-227.08666724956709
PDK1	-4.705543388336666	47.720656234200646	-224.55161842992976
ACADVL	3.5294059817917054	62.88888752776649	221.96041582872482
BUB1B	-5.8652544405779325	37.81705336761644	-221.80664019398498
LIX1	-10.55681705379244	20.582087959465454	-217.28133717314094
KCNH7	-9.55538169546518	22.268993847946906	-212.78873619109856
CDC25C	-11.669896684061467	17.38380079037431	-202.86715919997425
RORC	10.5377762765638	18.932475333691645	199.50618942800514
DGKI	-5.407641383482168	36.66758309710047	-198.28513978815172
CALML5	10.719556654307032	18.41285865146293	197.37768148210426
TYMSOS	-13.548375154946205	14.50779189407528	-196.55700725081948
C12orf75	-5.8930935978318555	33.12134417662969	-195.18718131888184
NCAPG	-9.169036537163961	20.672868257546497	-189.5502843814209
CBX7	4.5490368890430215	41.59954801078294	189.23787846856783
KLHL14	-8.190913092607918	23.072906247093822	-188.98816986383582
KIF11	-4.5418056724088895	41.29843795238036	-187.5694797537477
DIAPH3	-8.079145755553663	23.205383920314702	-187.47967900580375
TTK	-6.0541291249292035	30.53712066959022	-184.87567163724373
PLEKHG4B	-5.879352855412866	31.01632328325738	-182.35590885982782
IGDCC3	-7.886151092782462	22.964224850374364	-181.09934689868194
TRPC3	-4.912272398180764	36.56737839466526	-179.62892356194578
ARHGAP11A	-4.361517787248808	41.14232351339698	-179.4429758124258
LILRB2	10.359890095139937	17.150468493426047	177.67696867205404
VCAM1	-4.15680689937637	42.1069274263878	-175.0303664375489
NRAP	9.042662211793504	19.23097725259822	173.89923129793036
MB	6.915536661555649	24.941128593546075	172.48128916924176
HLA-DMB	10.717797187387148	15.936577080401435	170.80500100890498
MNDA	10.59374474298686	16.077016552356923	170.31580958444388
KRT18	-4.675912183563109	36.3923251089721	-170.1673163652323
KIF18A	-7.242113758760953	23.40563877007886	-169.5062985693769
TRIM59	-6.587873229715532	25.28971359685155	-166.60542719187123
RPL3L	11.702838786385804	14.191132455132815	166.0765353186667
PEG10	-6.822571800317128	24.2650424039128	-165.54999403843482
TNNI3	7.08321303670464	23.368954547406947	165.52728350435106
PRR11	-4.826934862262632	34.22615261836361	-165.20740927470075
FAM84B	-3.569321800759222	45.89503980738494	-163.81416613121138
SERF2	2.9587453174947904	55.33460446523353	163.72100185693603
JPH3	-7.727449988528333	20.676990166649613	-159.780407426077
KIF2C	-4.045709894988526	39.13338083787632	-158.3223060801506
NDRG4	4.183889260246769	37.79806850964275	158.14293289556588
PTPRD	-4.500531460229585	34.81141076467868	-156.66984932141125
TBX10	-11.427637384090321	13.704209406970039	-156.60673573849306
HLA-DRA	13.253651372905985	11.695648290788872	155.01004502623948
GINS1	-5.138065708160626	30.02072332864337	-154.24844906908024
C1QC	13.434820170921073	11.308259088127816	151.92442729518112
CEP55	-5.618757815162912	26.99074154994286	-151.65444002078377
GPC6	-5.852018621193295	25.651405215274526	-150.11250097956133
SYT9	-6.518212196055246	23.015946432187764	-150.0228227380405
MMP1	-7.937681956403842	18.882249775054753	-149.88129333576262
FOLR2	11.771464527285204	12.723959449114835	149.77963730187065
CSDC2	6.465156076579317	23.088194992745496	149.2687841545967
PPP1R12C	4.1139634104724125	36.26903678346127	149.2094902602377
KCNIP4	-5.8909025223049625	25.261268261692038	-148.8116689194239
MKI67	-6.431753823311439	23.044489527729624	-148.21648362623543
DARS-AS1	-11.644167470190917	12.667928977358821	-147.50748651285048
GINS2	-4.41963088112306	33.35915125581203	-147.43513505824194
MT1M	11.784755407234117	12.420829079281727	146.3764326543961
HUNK	-5.629908206198552	25.902214388177207	-145.82708934271307
ROBO2	-8.886055241469062	16.21530687816846	-144.09011267677818
KLC3	-10.416471850519242	13.791602358754702	-143.65983774352313
KIF23	-6.635997077650639	21.58276851756688	-143.22318881018404
PEBP4	9.710895165164285	14.695545549258993	142.7069022237507
NREP	-6.010999843444305	23.669142936219778	-142.27521448407796
CKMT2	5.209162608951215	27.048951099168864	140.9023846771403
SPARCL1	9.147940776875762	15.398703949557833	140.86643177119794
PCDHA2	-10.689696150182375	13.174067011164583	-140.82677341149068
TRIM71	-11.698467339257082	12.013642269506667	-140.54120171534205
SLC24A5	-16.366089387759004	8.53044050715612	-139.6099518570773
PRKG1-AS1	-10.553150045377281	13.073994836939567	-137.97182920671113
POLR2F	-4.8494612722909425	28.19437872673432	-136.7275477316017
ISCU	4.108126275662192	33.13837784605383	136.1366407621956
TGFB2	-4.513645591071251	29.98774362150878	-135.35404678339813
HLA-B	9.070221504983195	14.886969765261002	135.02811330890498
VCAN	-4.955273515450916	26.89404112320254	-133.26732970125335
GH1	13.826670463582422	9.596025857947476	132.68108729785553
FGFR2	-5.709417898740894	23.129087028854848	-132.05362346407972
TMPO-AS1	-10.197962777017585	12.838117087532028	-130.92264018564504
NCAPH	-4.5509970410642255	28.73996260125176	-130.79548475859326
TPX2	-5.3338838836692215	24.480149272337524	-130.57427367353793
BTNL9	11.117894465325168	11.673828554655275	129.7883938769568
SHROOM2	-4.52941163771368	28.560683865959497	-129.36309388353828
FRAS1	-5.252236909002395	24.59806983367341	-129.1948902706379
LCTL	-10.697086060907761	12.041491498620882	-128.80887086243675
GTSE1	-4.5635840016103035	28.171434490013993	-128.56270774104058
FIGNL2	-4.8486608972251	26.33229087190735	-127.6763490849746
PTGDS	10.281636017469987	12.310696774704978	126.5741033589583
CENPE	-5.642723847115978	22.412525289658	-126.46769092604315
TUBA3E	10.602159706748084	11.885755351124981	126.0146764679627
CTSG	11.324420466935342	11.1213931671154	125.9433324025165
SLC5A2	-12.631238799082192	9.917818755429865	-125.27433706585077
CUX2	-7.2832669909732735	17.19736589714365	-125.25300737035583
FGD2	9.59445120044917	12.991868457527687	124.64984791840422
SLC3A1	-11.954852882622454	10.417980225906568	-124.54542093478287
ARG2	-8.214518400869768	15.140570621685919	-124.37249597150719
STARD4-AS1	-9.657219627953197	12.843839642065534	-124.03578028963864
HBB	13.042234638639437	9.501142690236922	123.91613230126387
LMAN1L	12.608945915473205	9.794179207958717	123.49427591960365
ACOXL	-9.656272836748453	12.785708229647454	-123.46228707653587
SRSF12	-4.65867482429438	26.485755657903177	-123.38852308588596
MYRF	-6.471045874600669	19.038328742790153	-123.19789867032357
CRNN	9.861625988108727	12.485110340195895	123.12348859528083
SATL1	-13.975954360843314	8.796542321140368	-122.94007401348449
KIF26B	-6.052681627122348	20.29817324865645	-122.85838028628923
VIM-AS1	-11.460231226872128	10.701982094919158	-122.64718939361893
ATP1A1-AS1	-10.759061569927036	11.25057156046412	-121.04559211590356
CCNB2	-4.626724321063753	26.11566624244407	-120.82998816469961
FSIP2	-7.631639921078988	15.787107606126145	-120.48152064528203
MYBL2	-5.549969933357761	21.686440873918883	-120.3590948117906
LTF	7.945237925593417	15.112930474753831	120.07582837487067
CCL13	10.180659651603905	11.738635580276206	119.50705361699997
PRR19	-10.658633062066205	11.20617755430768	-119.44253457972803
ZACN	-13.599208902475231	8.773974686422871	-119.31911466569424
PCDHA4	-11.32982571165273	10.527570671648153	-119.27554087688044
AK1	4.635950144127951	25.64703964912974	118.89839715783829
SLC34A3	-8.828469795793133	13.40940151887225	-118.38449628902623
MAP3K6	3.790763372292486	31.150363854503016	118.08365833323381
PMP22	3.181136430389644	36.93154401854786	117.48428010794134
SLC9B1	-10.272323990787356	11.418557327902528	-117.29512037959391
SERHL	-11.081600098880193	10.582986038325716	-117.27641912875795
ANKRD2	11.062424775954796	10.599010212904068	117.25075317982787
COL5A3	8.724477258235263	13.378845338021682	116.72343189301704
CACNA1D	-5.39034082589223	21.32911924318919	-114.97122223688628
GDF9	-10.759323668891007	10.682427548381378	-114.93569556251309
TRIM24	-3.2184231846834175	35.69624336258499	-114.88561724424508
TMEM184A	-9.724773927266588	11.781641508013733	-114.57380015753375
ADAMTS19	-6.597531475507304	17.36296933876435	-114.55273672076605
RAMP2	5.247369662184317	21.719383012389137	113.96963150057218
CTSV	-7.042019352021951	16.182038686722255	-113.954229587066
RASGRP1	-5.633117225354678	20.120048334179703	-113.33859084623639
ACTA2-AS1	-11.205618715459067	10.058586744311558	-112.71268787312609
SYT1	-7.968295794462778	14.138494871392888	-112.6597092237535
COX7A1	8.55280835938645	13.169837975159773	112.63910032571162
CLEC3B	10.711165571282317	10.508234665567665	112.55544136478372
APC2	-9.45289417587731	11.898587270782308	-112.47608631314597
SIGLEC1	8.869890430037147	12.678364258588573	112.4557018057798
CD81-AS1	-11.140297848567442	10.08211833645675	-112.3178012126315
AZGP1	10.065045299420243	11.119277413145378	111.91603086012856
CERS6-AS1	-14.065067666251792	7.878119134745106	-110.80627871298293
PTK7	-4.224237565131222	26.053117155768344	-110.05455617816135
STK26	-5.406663066433137	20.351652584490257	-110.03452836944197
LACTB2-AS1	-11.137146458533937	9.86247526403941	-109.83983145927509
ZNF711	-3.794912178804484	28.832625766519335	-109.4172826682762
VSIG4	12.142714803056995	8.988798697984882	109.14841901172046
NUF2	-5.167662629172599	21.0529803706662	-108.79469989419603
TMEM200C	-5.600051403872188	19.31823180088817	-108.18309111689214
ADPGK-AS1	-9.823392700332425	11.003705510317424	-108.09372038665987
KRT19	-6.7051541755378565	16.106939232177595	-107.99951084777013
VWF	9.66198918305425	11.176746513878424	107.98960391883261
ELOVL6	-3.4269566990771327	31.487738947161084	-107.90711792376563
