Gene	log2FoldChange	-log10FDR	product
PLN	6.8111505498863005	153.61702854997253	1046.308708480045
HSPB7	7.664668034975795	92.50660943986723	709.0324523977406
COL3A1	-6.265281830526682	109.76563814285451	-687.7126582725929
COL1A1	-5.490606407033598	108.9058775317375	-597.9593089393743
ACTC1	4.649289599157387	126.76442784282315	589.3645359127748
MYBPC3	7.579766325025645	66.38514894649028	503.1839164664187
TNNT2	4.848489053378336	97.02203812631402	470.4102897918891
ACTG1	-3.7386890881914883	117.47317370496934	-439.1956726859921
ACTN2	6.699699358022087	59.99259132604542	401.93232559318795
MYL3	7.833213725464563	49.70117450425336	389.3199222984268
SMYD1	6.397316723055195	60.437163420315386	386.63567624280336
BST2	-6.545488922628342	53.35673687371193	-349.24593015447664
MYH7	11.651775017919793	29.087608768485612	338.92227317966535
MYL7	3.7537328740292977	82.78742584765854	310.76188196061867
LDB3	7.039637975569982	43.65134894659486	307.2896937293059
NKX2-5	4.554943100770213	66.01057616197879	300.674418466872
GPC3	-5.979665950332333	49.53510476870212	-296.2033793315528
EEF1A2	6.073969086452745	44.93937650379076	272.96038364848596
MEST	-5.47202053213679	49.78649014195823	-272.43269627982136
POPDC2	4.8516782686871265	53.988132014141435	261.93304686002176
SPARC	-3.6478574985971237	65.23547514927364	-237.96971719782417
COL1A2	-6.0212039601090845	38.94669154983259	-234.50597339299904
NREP	3.546207756553159	65.58427125919926	232.5754514472588
COL6A2	-3.8098397661213608	57.93467494821778	-220.7218284550351
FABP3	6.846524634658478	31.884256682447777	218.29634883415292
RBM24	4.890151818419584	43.771476909170055	214.0491674022888
CSRP3	8.648493958163028	23.82986327655379	206.09242857112648
TNNI1	3.177026426946165	64.19364954626347	203.94492105059976
CRIP2	5.145510186459496	38.51003347876049	198.15376954585832
SYNPO2L	5.173953697411623	37.074611764608065	191.82232461959435
XIRP1	5.616390914640385	33.43738401334304	187.7974197818815
LDHA	3.6418051751500804	47.80632179911708	174.10131013291468
CCDC3	-6.265320509730329	27.664619343291704	-173.3277069654079
NPPA	9.272711728394949	18.538894872766022	171.9058279181785
SLC9A3R1	-6.107930384941152	27.995172243464527	-170.99256317751815
SNTA1	3.586470707744868	46.11991827738177	165.40773594541687
ACTB	-2.640368653349483	57.603212963705445	-152.09371784158242
TMEM88	-2.925147361538771	50.67989021911699	-148.24614715752463
TMSB4X	-2.758002176426678	53.47597885661443	-147.48686607308963
ENO3	4.3390652667822005	33.796587740271576	146.64559999956953
MT-ND4	2.103668257807723	69.63916127590532	146.4976930764748
MYOM1	7.693461764139075	18.997126581051184	146.15366697982736
PFKP	2.950816472508134	48.87644554158433	144.22542062175378
SMPX	6.979798535004896	20.522633215200557	143.24384524989966
TNNC1	7.2568629069216755	19.03709891341418	138.1496169601543
MT-ND6	1.998848244225571	67.74999515342071	135.42195885870595
UNC45B	5.187932386135541	25.94657091360648	134.6090555518615
PPP1R14C	7.467244723040985	17.923476348478935	133.83898418172924
SLC25A4	4.518311994125295	29.469921815800156	133.15430120626453
FLNA	-2.810883295567759	46.719657385264476	-131.3235045188888
ATP2A2	3.146379288814294	41.66997560803548	131.10954821851965
IGDCC3	-4.727079355632712	26.909274695585125	-127.20227688855019
FBLN1	-4.4529227284346975	28.43873195490921	-126.63547588987733
FZD7	-5.226329595700023	23.94313659085517	-125.13472337867452
HRC	5.42151604594634	22.765812087439237	123.42521553105095
TMOD1	6.188589839900114	19.82728420199966	122.70292956530714
MT-ND2	1.9294956803958847	63.38716224587549	122.30525574596986
FHL2	6.1649703540052325	19.643623814368596	121.10235846081358
BNIP3	4.327486078527423	27.678666081122454	119.7790421382666
FBN2	3.5913924772746193	33.268974789429414	119.48194578539577
MDH1	3.239586767887477	36.6201098508559	118.6340233114186
NEBL	4.772423601415954	24.703675208472585	117.89640260662875
HSPB1	2.392495255553388	48.46761694743931	115.95854359472753
PGK1	2.7231189792713044	41.64791538475266	113.41222883130531
MYL4	5.950690061473433	18.314411287796197	108.9833852320257
DKK3	4.819493311944989	22.233112183872606	107.15233547389668
RBM38	2.8326224452768756	37.41995541106072	105.99660559863047
LUM	-8.463553698623727	12.515205997743738	-105.92311801124187
NUDT4	4.136343681491314	25.416435044136033	105.13111050084649
CITED2	2.4965133043057186	41.3692609040412	103.27891023623327
TPM1	2.2077243252152536	46.5234343847144	102.71091778368972
COL6A1	-2.6580226439505625	38.466283916521085	-102.24425367874437
MT-CYB	1.9682247990574266	51.94205803381279	102.23364673623037
PPP1R3C	3.8004380409124026	26.87743939238412	102.14604310913414
MT-ND3	2.008802037936914	48.903306420535834	98.23706159942574
SFRP1	-2.458409559004623	39.735364093620845	-97.68579891828655
TBX20	3.9709498272141803	24.421108036300744	96.97499473712728
H3F3B	-2.6006668040917336	37.26264327080166	-96.9077193870861
PPP1R12B	4.991154771317761	19.28895347398944	96.27415216542869
ASB2	5.7115725908138675	16.814329674938822	96.03626450428882
PSAT1	-3.4577196996432495	27.765426538548247	-96.00506231133576
PRSS35	3.251300068121572	29.36700739160513	95.48095313285248
PYGB	2.5933299910033543	36.34250565279581	94.2481098576043
SHISA3	-11.372106595065718	8.284423302590444	-94.2113448757049
S100A10	-3.096404212066508	30.14472433695345	-93.34025140852643
SLC7A5	-3.608013119682024	25.337180419703163	-91.4168793700395
TRIM55	4.45785207560872	20.491742826095926	91.34915829015182
TGFBI	-5.360613215594642	17.03922159975686	-91.34067649110231
MARCKS	-3.150070520567879	28.28671307318764	-89.10514097561042
TPI1	2.418434214042611	36.267724254555255	87.71110520267948
PCOLCE	-4.829633449149214	18.15327010169461	-87.67364049458465
TNC	-6.479690938916935	13.524240864647643	-87.63290098638747
ID1	-2.5511262933453254	34.28865027370722	-87.47467727657687
GAPDH	2.1067859899804686	41.25963525676213	86.92522151065066
HSPB8	3.26936319039767	26.55353894941601	86.81316281601151
INAFM2	3.573120050201469	24.071299106528	86.0096414719319
MMP14	-3.8989564046752725	22.0437137174086	-85.94747878131842
PDLIM5	3.430230488946221	24.929263424796428	85.5131194667086
CORO6	4.608157510898937	18.3256804041124	84.44762179654403
HIST2H2BE	5.463646493511683	15.36107878389319	83.92750423417473
KRT8	-2.0530673799076022	40.763479837882514	-83.69017074667782
FHOD3	5.444137551599733	15.250707246859431	83.0269480110816
DUSP5	3.233663859216192	25.519109709769538	82.52022278785476
BCAM	3.104442880813571	26.519734211173866	82.32900007294681
MYL9	2.1449478170592844	37.97668899522622	81.45801615944983
VSTM2L	6.321024622715412	12.879223083498124	81.40988623223636
FN1	-3.417196871506832	23.594466252960995	-80.62693626449185
CKM	10.765120808074554	7.4660349705088755	80.3727684148374
GAS1	-4.327147189433468	18.249495275817914	-78.96825219133484
RCAN2	4.83817319693262	16.187927207967174	78.31999553148309
PAM	2.6187318269272035	29.69118595066644	77.75325362822404
TPM4	-3.0521618803856954	25.46399684678691	-77.72024049802455
EMILIN2	3.4983132415693143	22.143337187029285	77.46432969391876
CRABP2	-2.470855865468298	31.24281451250432	-77.19649149195936
SERPING1	-4.128573501855433	18.685182513452094	-77.14314940237081
MYRF	-3.5182161299220502	21.769439506676967	-76.58959321175323
GPI	3.310498635400699	22.919984031389898	75.87657585932207
ZNF703	-2.8231844419650254	26.80781031503572	-75.68339300455837
TCAP	8.511933818097944	8.850402918476387	75.3340439055719
MYLK3	4.102074369086278	18.297657726939235	75.05835277599093
HSPB3	10.467527702934511	7.1170609686076975	74.498032852375
BMP7	5.609700626720052	13.198631888813534	74.04037357852454
PHGDH	-3.2872039437890197	22.52209679964288	-74.03472542218414
FLNB	-5.2405300680573905	14.034940411810394	-73.55052723148614
MB	8.428308197214681	8.722393190407601	73.5150180260419
RHOQ	3.296350107172013	22.191709976099638	73.15164555804627
CNTFR	-3.5802491681281916	20.34323551450377	-72.833852027838
FTL	-1.9438241745779563	37.33531405161883	-72.57328601899674
MT-ND1	1.5671478926713387	46.2112064274835	72.419794770631
ABLIM1	3.263376021111195	22.155180360005474	72.30068433023555
KRT18	-2.0743084056070176	34.758480628201546	-72.09980853320715
LIX1	-3.295972594688605	21.37338736690436	-70.44609901698041
PPP1R1A	3.3375277274985975	21.031171577861002	70.19211828289153
ZNF503	-2.997369640924206	23.36449865884514	-70.03203895543675
ATP1B1	2.4064291046301456	28.930171285283198	69.61840618284079
MT-CO2	1.5778051554764438	43.87215587708015	69.22171372472322
NEXN	3.3416375066705775	20.68511360288328	69.12215144513652
IDH2	2.254962602477337	30.64987595208119	69.11432404251254
GOT1	2.83877535745283	24.26304822583062	68.87734340017757
ADGRA2	-3.8867725788451546	17.534302448489374	-68.15184594596595
TWIST1	-4.064000705834668	16.693640599489196	-67.84296717927437
MMP2	-2.9467759738526698	22.869994627933725	-67.39275069173473
CD24	-2.457753742158823	27.186087096857506	-66.81670729695723
PODXL	-4.405565426564134	15.05634730765076	-66.33172314892818
CAP2	2.514366884249251	26.27307118651724	66.06014013890213
GYS1	2.773146689793153	23.16449251795566	64.238535746907
ITGB1BP2	5.8258362693630685	10.951402377293812	63.80107717002722
STK39	3.321922294422042	18.869882730028756	62.684284134011996
RSPO4	-4.508447797428321	13.866236684288975	-62.51520423790241
ATP5F1B	1.7010212552022779	36.73928105299269	62.49429797199089
CHCHD10	3.2117321413536724	19.45514407507052	62.48471154057046
PDGFD	4.493966824428178	13.851165613949892	62.246678748751165
MT-ATP6	1.586537617758566	39.162970686695616	62.13352621761861
FITM1	7.950221884766166	7.814887202367063	62.13008726323766
PTBP1	-2.774435595209782	22.279890495890665	-61.81412124917518
GYG1	3.6148387255456096	17.067140966323695	61.69496209941281
FSCN1	-2.0096253880808237	30.656933664839034	-61.60895221357021
CLDN6	2.336018977218054	26.281417698272556	61.39389049135912
HMGA1	-1.9242171798048917	31.85763214822389	-61.301003087517024
S100A11	-2.3019804357183244	26.110073935299194	-60.1048793742177
ISOC1	2.845346976412051	21.113856303143844	60.07624719254886
FAM162A	3.8178839585221565	15.72887276598133	60.051011018876146
HEY2	7.8246406722043735	7.602315907575692	59.485390253363065
MT-ND5	1.8712080728732041	31.35879783691117	58.67883566802695
PLAT	-9.600790373834409	6.072052912503907	-58.2965071517807
NAV1	3.220694441677808	18.04244620676732	58.109206212406356
HK1	2.5365888506352428	22.857721033467822	57.98064032442515
CPE	-2.1735192224492264	26.606123638141696	-57.82892116236172
MEIS3	-3.8554104415549064	14.883515309196005	-57.38206033011658
FGFR3	-5.624004577724234	10.18601684067323	-57.28620534072238
LRRC10	9.530767453634917	5.998932835034909	57.17443382069255
CDC42EP1	-4.197678640823102	13.464325270746444	-56.51891060210708
TECRL	2.5608673506214705	22.059977127260733	56.49267518065843
TRIM63	7.673628886711055	7.324237714800433	56.20348210143117
MYOZ2	9.445963980329214	5.901869061628796	55.748842572764985
BVES	3.9156033430202486	14.193019856918708	55.57423599930366
MFAP2	-4.018869285344912	13.563577922297949	-54.51024671130558
LIN28A	-9.366456759567708	5.805732978701747	-54.379146902606145
JPH2	3.0123236859606264	17.974069746303478	54.14371602989827
SPP1	-9.346980561880665	5.78531901165518	-54.07526434621963
TRIM54	3.886071538849066	13.817265187933073	53.69488099155671
MYO18B	6.218686101833399	8.620884005323251	53.61057154942155
IRX4	9.288763253452816	5.721021370200879	53.141213075740204
STARD4	3.627797193787225	14.63957103741427	53.10939472778022
SLC8A1	6.181307153629918	8.501019995744898	52.54741571284891
TAGLN2	-5.4627579509667195	9.612109164055935	-52.50862576150663
LMOD2	9.219356970294339	5.646831269439546	52.060153223983505
LGALS1	-2.9073345902082446	17.479677476722685	-50.81927095375983
LBH	1.932340792618161	26.289291098026688	50.799869597730456
APOBEC2	9.135761936314488	5.555088630008345	50.74996725888363
SIRPA	3.098633595375294	16.173094034001164	50.11449251491974
MEF2A	2.959955436218108	16.88409226504307	49.976160685522345
EVA1B	-3.3443008199585478	14.943488390074217	-49.97552047596624
KDR	-4.413895712522263	11.240456372937672	-49.614202191303136
PARM1	4.906596015415407	10.054807442445073	49.33487813287017
COX5A	1.983185882550672	24.796828250731117	49.17671971888363
PTP4A3	2.4057351722519216	20.266009935369723	48.75465290272584
CITED4	2.9654625545005744	16.422505164951808	48.700324117756864
MYL2	8.984062870945142	5.384478345555002	48.374491983708815
COL11A2	5.996149092071973	8.02494512846763	48.11876744598858
RTL8C	1.7947683781594743	26.689030222313438	47.900627486750686
MT-CO3	1.3589155738961103	35.060780728587346	47.64464096503396
HAND1	-2.0553221486188407	22.92156712481845	-47.111204592692836
SLC27A6	5.952134971406564	7.9102236914449024	47.08271906549793
PDK1	3.1220852438801763	15.07660086687161	47.07043309433093
ENO2	4.3310686524497495	10.85261812331708	47.003434150906635
HOXB1	-4.844070506950799	9.700974483660412	-46.992204384981655
IFITM1	-4.521130097670714	10.333888670563182	-46.7208550944616
MXRA8	-3.0402288061739062	15.352583191449131	-46.67536566782497
ADAM11	4.7971476518414145	9.588347610771327	45.99671922605091
HIST1H2AC	5.2126497374767355	8.770593361936417	45.718031185613064
CRB2	-2.7057301063759325	16.881058874635652	-45.675589224606306
PYGM	3.0473732485054223	14.968752065471515	45.61537460782818
CRYAB	8.780366440565762	5.165977275221727	45.359173500082214
LTBP1	2.508903972322319	18.034916426593757	45.247873463182124
PTN	-2.2567016778080067	19.987701052708182	-45.10627850117142
