Gene	log2FoldChange	-log10FDR	product
C1QA	15.57079793685598	116.28958346402962	1810.7216062795537
C1QB	14.987595259179985	51.437472398770566	770.9240174680151
RGS5	-7.3607742784206796	98.6397427311307	-726.06488112534
COL2A1	-11.607263957900004	56.23520578536429	-652.7368772775487
HBA2	16.44258615947744	37.575980421679546	617.8462956103034
BUB1	-6.066096919972929	97.880586963232	-593.7531271028041
TOP2A	-7.323743480988756	63.341760447714385	-463.89880515329963
CDH3	-12.94577401690501	35.67998586218195	-461.90503389817326
FBN2	-5.207098591690113	80.42221545553946	-418.7664048391384
APOD	14.282623047604364	27.256590088603147	389.295601798588
PBK	-7.483646346547265	51.56417299021819	-385.8880348109775
FGF13	-7.580646392243225	50.01972476849683	-379.1818461073046
KIF20A	-6.610266675435983	56.94336562373644	-376.4108321697519
DEPDC1	-7.715196568080633	48.36746563345927	-373.1645048620229
CENPF	-6.977666173259308	50.99846417632415	-355.85025837131366
SH3GL3	-9.722047727910864	34.875956649542594	-339.06571510340336
CCL11	12.79644453148314	26.34032972322874	337.0625682442732
DLGAP5	-7.234948582636928	45.32995629638559	-327.95990305752883
HBA1	12.588628488711965	25.781504564357945	324.553782840734
LMNB1	-5.3801801804775495	60.06785302944375	-323.17587235285157
LRRN4	-8.299743518320826	38.927726818368264	-323.0901483437158
CRB2	-10.42591279094716	29.70075509209881	-309.657482415502
CD24	-7.573181682468319	39.88727331034257	-302.0735675974938
FREM2	-12.11391969734834	23.61249672163133	-286.0398891397429
LCN6	12.74527978962117	21.72729555129692	276.92046087307057
PLA2G5	13.08757496135717	21.052587906555136	275.52732235760175
CTSD	4.541108103222128	59.08030670541725	268.2900595208189
CASQ2	7.686143156408707	34.75675900763598	267.14542538548795
ASPM	-7.498220872290611	35.610179506296014	-267.01299124012417
EPB41L3	-4.791781383380394	55.61470729606082	-266.49351906341406
NEK2	-7.329498491472169	35.89268079789108	-263.07534976303475
GPIHBP1	14.725705571599617	17.37058648298329	255.79414215442
GPX3	6.1781570048309264	41.37283585964473	255.60787567598425
MYL2	7.010836670907757	35.65161321364042	249.94763729520977
CCL14	11.439815171864367	21.710675214210546	248.36611170694547
MEX3A	-7.5734948473025545	32.77970249279588	-248.25690792530028
SAPCD1	11.165496919821269	22.023914601842385	245.90795064927784
KIF4A	-6.432775702775942	37.969804381707725	-244.25123506580493
KIF14	-8.036816180765987	28.972029834006545	-232.8428781595787
GUCA1C	12.260799061134989	18.691466989781702	229.17232091955114
RAMP3	15.056706368698906	15.169543896875195	228.40336820233838
PDK1	-4.7055433350586915	47.7216006082974	-224.55605968070662
ACADVL	3.5294059762538605	62.89145930318333	221.9694923199817
BUB1B	-5.865253981354947	37.81762522398475	-221.8099769103658
LIX1	-10.55681705552534	20.582126653212256	-217.28174569161382
KCNH7	-9.5553818252723	22.26892785133496	-212.78810845894623
CDC25C	-11.669896586570905	17.383599630688558	-202.86480999248764
TTK	-6.052111746748604	33.45549893098093	-202.47641807352505
RORC	10.537775494939606	18.93232510334426	199.5045915362511
DGKI	-5.407641737679945	36.66824795639685	-198.2887480966089
CALML5	10.719714359289302	18.419442577810067	197.45116309145533
TYMSOS	-13.54837625495115	14.507390677679457	-196.551587378772
C12orf75	-5.893093619618166	33.1214732430883	-195.18794264119748
NCAPG	-9.169036643019815	20.67257962496629	-189.54764008706073
CBX7	4.549036842233812	41.60053493428001	189.2423660726745
KLHL14	-8.19091348338093	23.07273428806283	-188.98677037855933
KIF11	-4.541805390480944	41.299517145290594	-187.57436959474097
DIAPH3	-8.079145684100043	23.20539841837427	-187.47979447963044
PLEKHG4B	-5.879353280641241	31.016760949783322	-182.3584952449737
IGDCC3	-7.886150815623038	22.96394318977112	-181.0971193159346
TRPC3	-4.912272300952011	36.56840130808116	-179.63394483578435
ARHGAP11A	-4.361517348676756	41.143506509373495	-179.44811742602755
LILRB2	10.360103305957608	17.15882303438371	177.76717924486022
VCAM1	-4.156807053623253	42.107914929964416	-175.03447779424397
NRAP	9.042662176598075	19.23055300306153	173.89539427584901
MB	6.915536659783633	24.940700141471677	172.47832614901824
HLA-DMB	10.717802974932281	15.936275427378236	170.80186018489468
MNDA	10.593853632589303	16.08157736463378	170.36587678209148
KRT18	-4.675912198888076	36.39281797957263	-170.16962154259696
KIF18A	-7.242114497197347	23.405856292938697	-169.5078911784091
TRIM59	-6.587873251994631	25.289752995282026	-166.60568730716955
RPL3L	11.702837623258999	14.190468495197342	166.06874859726696
PEG10	-6.822571762464834	24.26444841865761	-165.54594061291792
TNNI3	7.083213036085764	23.368728581961545	165.5256829285
PRR11	-4.826935273677435	34.226791148122615	-165.21050549766366
FAM84B	-3.569322053634857	45.89720546807816	-163.82190767742173
SERF2	2.958745324641526	55.33730800051507	163.7290013247721
JPH3	-7.727450019277702	20.676958686807385	-159.78016480297399
KIF2C	-4.045709180340545	39.13463060213227	-158.32733429628254
NDRG4	4.183889258675258	37.79866430799825	158.14542559050574
PTPRD	-4.5005314551562305	34.8119422647223	-156.67224117746534
TBX10	-11.42763789849866	13.703881349388094	-156.60299386479633
HLA-DRA	13.25366260226356	11.694647649919338	154.99691420438535
GINS1	-5.138065104967741	30.021228105898984	-154.25102453919638
C1QC	13.434827320947504	11.307385920959826	151.91277729940822
CEP55	-5.618756644083914	26.9912415155253	-151.65721759743133
GPC6	-5.852018614304005	25.651331333824967	-150.1120684472233
SYT9	-6.518211158446692	23.016235771065954	-150.024684828402
MMP1	-7.937681866217572	18.882308743033814	-149.88175970190102
FOLR2	11.771468748141393	12.723548537416566	149.77485397365922
CSDC2	6.465156071402683	23.088012025272487	149.26760112180858
PPP1R12C	4.113963422776627	36.2697461322446	149.21240894144833
KCNIP4	-5.890902539602139	25.261341231583373	-148.8120992148907
MKI67	-6.431753878289501	23.04444613760863	-148.2162058185978
