Term	fdr	es	nes	gene %	lead_genes
cholesterol biosynthetic process (GO:0006695)	0.0	-0.6684150495199903	-2.85792313788868	20.70%	CYP51A1;MSMO1;SQLE;HMGCS1;INSIG1;ACAT2;HMGCR;DHCR24;SC5D;FDPS;MVD;IDI1;HSD17B7;FDFT1;DHCR7;ACLY;G6PD;LSS;MVK
sterol biosynthetic process (GO:0016126)	0.0	-0.6567408681910631	-2.8542284164027683	22.20%	CYP51A1;MSMO1;SQLE;HMGCS1;INSIG1;ACAT2;HMGCR;DHCR24;SC5D;FDPS;MVD;IDI1;HSD17B7;FDFT1;DHCR7;ACLY;G6PD;LSS;MVK;FAXDC2
secondary alcohol biosynthetic process (GO:1902653)	0.0	-0.662083890336617	-2.8066273884736175	20.70%	CYP51A1;MSMO1;SQLE;HMGCS1;INSIG1;ACAT2;HMGCR;DHCR24;FDPS;MVD;IDI1;HSD17B7;FDFT1;DHCR7;ACLY;G6PD;LSS;MVK
ventricular cardiac muscle tissue morphogenesis (GO:0055010)	0.0	0.7739530694297225	2.5131783628482163	7.63%	MYH7;TNNI3;MYBPC3;MYL2;NKX2-5;RYR2;MYL3;MYH6;HAND1;DLL4;PKP2;DSP;PROX1;TNNC1
striated muscle contraction (GO:0006941)	0.0	0.7280147547518937	2.4907360001558017	13.98%	MYH7;TNNI3;TCAP;MYBPC3;CSRP3;RYR2;TNNT1;KLHL41;TNNT3;LMOD3;SCN5A;MYL3;MYH6;KCNQ1;ATP1A2;TNNC1;SMPX;MYH14;SCN2B;TNNI1
cotranslational protein targeting to membrane (GO:0006613)	0.0011724647263382717	-0.5243250249110044	-2.4869501599113164	46.59%	RPS29;RPL39;RPL31;RPL27A;RPS19;RPS23;RPL15;RPL37A;RPL37;RPS15A;RPL41;RPS9;RPL14;RPL30;RPS3;SSR1;RPL28;RPS24;RPS17;RPL3;RPS20;RPL18A;SEC62;RPS27;RPL12;SRP19;RPL13;RPL36A;RPL26;UBA52;RPL23;SIL1;RPS21;RPL32;SRP72;RPL7;RPS10;RPS28
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	0.0011724647263382717	-0.5086107179720056	-2.4738676780001887	46.59%	RPS29;RPL39;RPL31;RPL27A;RPS19;RPS23;RPL15;MAGOHB;RPL37A;RPL37;RPS15A;RPL41;RPS9;RPL14;RPL30;RPS3;RPL28;RPS24;RPS17;PABPC1;RPL3;RPS20;RPL18A;RPS27;RPL12;RBM8A;RPL13;RPL36A;SMG9;RPL26;UBA52;PPP2R2A;RPL23;RPS21;RPL32;RPL7;RPS10;RPS28
protein targeting to ER (GO:0045047)	0.0011724647263382719	-0.48560658933790873	-2.440177461929974	47.13%	RPS29;RPL39;SGTB;RPL31;RPL27A;RPS19;RPS23;RPL15;RPL37A;SPCS2;RPL37;RPS15A;RPL41;RPS9;RPL14;RPL30;RPS3;RPL28;RPS24;RPS17;RPL3;RPS20;RPL18A;SEC62;RPS27;RPL12;SRP19;RPL13;RPL36A;RPL26;UBA52;RPL23;RPS21;RPL32;SRP72;RPL7;RPS10;SEC61G;RPS28;CHMP4B
cytoplasmic translation (GO:0002181)	0.0010049697654328045	-0.5167335248858685	-2.437509725904847	47.30%	RPS29;RPL39;RPL31;RPL27A;RPS19;RPS23;RPL15;RPL37A;RPL37;EIF3M;RPL22L1;RPS15A;RPL41;RPS9;RPL14;RPL30;RPS3;RPL28;RPS24;RPS17;RPL3;RPS20;RPL18A;RPS27;RPL12;RPL13;RPL36A;RPL26;UBA52;RPL23;RPS21;RPL32;RPL7;RPS10;RPS28;TMA7
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	0.0011724647263382717	-0.5235790022920691	-2.4308198835931236	46.59%	RPS29;RPL39;RPL31;RPL27A;RPS19;RPS23;RPL15;RPL37A;RPL37;RPS15A;RPL41;RPS9;SEC61B;RPL14;RPL30;RPS3;RPL28;RPS24;RPS17;RPL3;RPS20;RPL18A;RPS27;RPL12;SRP19;RPL13;RPL36A;RPL26;UBA52;RPL23;RPS21;RPL32;SRP72;RPL7;RPS10;RPS28
heart contraction (GO:0060047)	0.0	0.7318817388060732	2.4176626046680942	7.63%	MYH7;TNNI3;TCAP;MYBPC3;MYL2;CSRP3;RYR2;SGCG;SCN5A;MYL3;MYH6;KCNQ1;ATP1A2;TRDN;TNNC1
ventricular cardiac muscle tissue development (GO:0003229)	0.0	0.8004748536960694	2.3645334478574376	7.63%	MYH7;TNNI3;MYBPC3;MYL2;MYL3;MYH6;HAND1;PKP2;PROX1;IRX3;TNNC1
cardiac muscle contraction (GO:0060048)	0.0	0.7260973921301579	2.324780769144884	21.58%	MYH7;TNNI3;TCAP;MYBPC3;CSRP3;RYR2;SCN5A;MYL3;MYH6;KCNQ1;ATP1A2;TNNC1;SCN2B;TNNI1;CASQ2;TTN;ATP1B1;TNNT2
cardiac muscle tissue morphogenesis (GO:0055008)	0.0	0.7319501197520165	2.3010721309262294	7.63%	MYH7;TNNI3;TCAP;MYBPC3;MYL2;NKX2-5;MYL3;MYH6;HAND1;PKP2;PROX1;TNNC1
potassium ion transmembrane transport (GO:0071805)	0.0	0.7281700588436424	2.297243021416336	21.96%	ATP1A3;KCNIP2;KCNJ4;KCNQ1;SLC1A3;ATP1A2;KCNJ2;KCNA5;KCNN2;KCNJ12;HCN4;KCNJ11;KCNJ8;SLC12A7;KCNK1;ABCC9;ATP1B1;ATP1B2;HCN2
regulation of striated muscle contraction (GO:0006942)	0.0	0.7903842576839529	2.2937745378107897	15.17%	MYBPC3;MYL2;NKX2-5;RYR2;TNNT3;MYL3;CAV3;GJA5;ATP1A2;RNF207;HCN4;TNNI1;TNNI3K
steroid biosynthetic process (GO:0006694)	0.007686157650439781	-0.6118762570389451	-2.2830252644866706	22.20%	CYP51A1;MSMO1;SQLE;INSIG1;HMGCR;SC5D;FDXR;FDFT1;DHCR7;LSS;FAXDC2
regulation of heart contraction (GO:0008016)	0.0	0.6204555200743627	2.27637985839943	22.20%	HRC;NKX2-5;ATP1A3;RYR2;MYH6;KCNIP2;CORIN;CAV3;KCNQ1;CYP2J2;ITPR3;GJA5;ATP1A2;TRDN;NPR1;FXYD6;PLN;RNF207;FXYD1;KCNJ12;HCN4;TBX2;KCNJ11;TNNI3K;S100A1;CASQ2;ABCC9;ATP1B1;ATP1B2;HSPB7;TMEM65;TNNT2;ATP2A3
regulation of cardiac muscle contraction (GO:0055117)	9.282164208276671e-05	0.7306889707842464	2.2480237283886986	15.17%	TNNI3;NKX2-5;RYR2;SCN5A;CAV3;KCNQ1;GJA5;PLN;RNF207;HCN4;STC1;ADRA1A;TNNI3K
