Term	fdr	es	nes	gene %	lead_genes
regulation of cell cycle process (GO:0010564)	0.0	-0.5249117173783455	-2.8109184661802216	30.85%	MKI67;PRC1;PDXP;BUB1;KIF20A;PLK1;KIF11;SPAG5;RAB11FIP4;CEP250;TTL;ECT2;MAP9;RACGAP1;KIF13A;MAD1L1;KLHL13;PIK3C3;ZFYVE26;BIRC6;OBSL1;MYO19;AURKA;DYNC1H1;SH3GLB1;TXLNG;APC;CUL7
mitotic spindle organization (GO:0007052)	0.0	-0.506855304990328	-2.7513400836312623	33.90%	PRC1;BUB1;CENPF;TPX2;KNTC1;BIRC5;CDC20;PLK1;KIF2C;KIF23;GPSM2;KIF11;BUB1B;MAD2L1;CENPU;KIFC1;DLGAP5;CCNB1;MAP9;SPDL1;ITGB3BP;ZWINT;ZWILCH;MAD1L1;TNKS;WDR62;CENPN;RCC2;EFHC1;ZNF207;SMC1A;KIF3B;SPC24;MECP2;STAG1;AURKA;DYNC1H1;RANBP2;STMN1;XPO1;TAOK1;NEK6;SEH1L;EML1;CENPO
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	0.0	-0.49619704950239685	-2.640942179246326	33.90%	BUB1;CENPF;KNTC1;BIRC5;NUSAP1;CDC20;PLK1;KIF2C;GPSM2;KIF11;BUB1B;MAD2L1;CENPU;DLGAP5;CCNB1;SPDL1;ITGB3BP;ZWINT;ZWILCH;MAD1L1;TNKS;WDR62;CENPN;RCC2;EFHC1;KIF3B;SPC24;MECP2;AURKA;DYNC1H1;RANBP2;STMN1;XPO1;TAOK1;NEK6;SEH1L;EML1;CENPO
synapse assembly (GO:0007416)	0.0	-0.6108611859874741	-2.576522984101564	28.33%	SDK2;FGF13;GABRB3;FARP1;SDK1;WNT5A;SPOCK2;NRXN1;PCDHB2;CDH1;PCDHB5;PCDHB10;OBSL1;PCDHB16;ADGRL3;FZD1;PTEN;PLXNB2
semaphorin-plexin signaling pathway (GO:0071526)	0.005303078036157745	-0.5951995100689135	-2.422975015182327	22.42%	NRP2;SEMA3A;SEMA4G;SEMA4F;SEMA7A;FARP2;SH3BP1;MET;PLXNA4;SEMA4D;SEMA6D;SEMA5B;SEMA5A;PLXNA3;SEMA3C;SEMA4B
mitotic spindle checkpoint signaling (GO:0071174)	0.004091881200739001	-0.6612378465693429	-2.402886440346293	16.59%	BUB1;CENPF;KNTC1;CDC20;PLK1;BUB1B;MAD2L1;ZWINT;MAD1L1;ATM
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	0.004091881200739001	-0.6612378465693429	-2.402886440346293	16.59%	BUB1;CENPF;KNTC1;CDC20;PLK1;BUB1B;MAD2L1;ZWINT;MAD1L1;ATM
mitotic spindle assembly checkpoint signaling (GO:0007094)	0.004091881200739001	-0.6612378465693429	-2.402886440346293	16.59%	BUB1;CENPF;KNTC1;CDC20;PLK1;BUB1B;MAD2L1;ZWINT;MAD1L1;ATM
spindle assembly checkpoint signaling (GO:0071173)	0.004091881200739001	-0.6612378465693429	-2.402886440346293	16.59%	BUB1;CENPF;KNTC1;CDC20;PLK1;BUB1B;MAD2L1;ZWINT;MAD1L1;ATM
inflammatory response (GO:0006954)	0.0	0.6194085392722631	2.3775746535683093	15.78%	ACKR1;TNFRSF4;CCL11;AIF1;TNFAIP6;SIGLEC1;CD14;CXCL3;TNF;CXCL10;TLR2;CCL14;PTGDR;CXCL1;FOLR2;CCL4;CCL13;CXCL2;AOC3;GGT5;CCL2;HPR;CXCL8;LYZ;NRROS;C3AR1;ITGB2;PTGIR;TLR4;PTX3;FPR1;FPR3;CXCR4;AFAP1L2;CCL21;CDO1;C5AR1;CSF1R;FCGR2B;SERPINA3;MGLL;LGALS9;CCL5;PTGER4;CD40
regulation of cytokinesis (GO:0032465)	0.0051557703129311416	-0.4910844088977034	-2.3560080705021287	22.07%	PRC1;PDXP;KIF20A;PLK1;KIF23;CDC6;RAB11FIP4;ECT2;MAP9;E2F8;RACGAP1;KIF13A;KLHL13;PIK3C3;ZFYVE26;BIRC6;MYO19
neutrophil migration (GO:1990266)	0.0	0.7188735798207907	2.3010414009823648	14.55%	FCER1G;CCL11;CXCL3;CXCL10;CCL14;CXCL1;CCL4;CCL13;CXCL2;CCL2;PECAM1;CXCL8;ITGB2;PLA2G1B;CCL21;S100A12;LGALS3;CCL5
cellular response to chemokine (GO:1990869)	0.0	0.7705231967463725	2.2964177920883384	14.60%	CCL11;CXCL3;CXCL10;CCL14;CXCL1;CCL4;CCL13;CXCL2;CCL2;CXCL8;CXCL12;CCL21;CCL5;DUSP1
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	0.0	0.7850481596871686	2.2838392015005953	13.46%	CXCL3;CXCL10;CXCL1;CCL13;RNASE6;CXCL2;MUC7;CXCL8;GNLY;REG1A;PGLYRP1;PLA2G1B;ANG;LTF;S100A12
regulation of generation of precursor metabolites and energy (GO:0043467)	0.012320282306225066	-0.5662341822841582	-2.280388000081124	43.56%	NUP210;NOS2;GCK;NUP93;PGAM1;NUP155;NUP58;POM121;HIF1A;NDC1;RANBP2;POM121C;TIGAR;SEH1L;TPR;NUP50;NUP107;EP300;NUP214
chemokine-mediated signaling pathway (GO:0070098)	0.0	0.7613713057381514	2.2767889094932534	18.43%	CCL11;CXCL3;CXCL10;CCL14;CXCL1;CCL4;CCL13;CXCL2;CCL2;CXCL8;CXCL12;CCL21;CCL5;CIB1;ACKR3
neutrophil chemotaxis (GO:0030593)	0.0	0.7123251220521502	2.248800602421852	14.55%	FCER1G;CCL11;CXCL3;CXCL10;CCL14;CXCL1;CCL4;CCL13;CXCL2;CCL2;CXCL8;ITGB2;PLA2G1B;CCL21;S100A12;LGALS3;CCL5
regulation of calcium ion-dependent exocytosis (GO:0017158)	0.017308657479125973	-0.6480029980193422	-2.241842941407118	6.76%	CACNA1G;SYT15;SYT12;SCAMP5;CACNA1I;SYT13
mitotic spindle assembly (GO:0090307)	0.01688373135443385	-0.6321746941333022	-2.237180769573431	26.64%	PRC1;TPX2;KIF23;KIF11;KIFC1;MAP9;RACGAP1;ZNF207;SMC1A;KIF3B;STAG1
negative regulation of inflammatory response (GO:0050728)	0.0	0.6035539037260254	2.236775448346102	15.62%	RAMP3;CDH5;TNFAIP6;VIP;HLA-DRB1;ADIPOQ;PTGDR;RAMP2;FCGR3A;AVPR2;ALOX5;TEK;PTGIS;CD163;ADCYAP1R1;GGT5;POMC;FGR;ADCY4;CYSLTR2;KLF4;APOA1;PTGIR;HCK;TNFRSF1B;IGF1;PTGER4;GNG2
regulation of inflammatory response to antigenic stimulus (GO:0002861)	0.00010364866847252653	0.6598388565686062	2.2342111066330386	9.93%	RAMP3;VIP;HLA-DRB1;PTGDR;RAMP2;FCGR3A;AVPR2;CD163;ADCYAP1R1;GGT5;POMC;FGR;ADCY4;CYSLTR2;PTGIR;HCK
spindle assembly (GO:0051225)	0.016835168368754747	-0.5288554023725553	-2.2327795210683026	47.33%	TPX2;GOLGA8N;KIF11;KIFC1;MAP9;GOLGA8A;TUBGCP4;TNKS;NCOR1;ZNF207;SMC1A;KIF3B;STAG1;NEK6;HAUS3;HAUS6;NUMA1;STAG2;ARHGEF10;HAUS2;GOLGA8B;STARD9;TUBGCP5;CEP192
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	0.00018426429950671382	0.6529677196817498	2.2269757401356327	15.62%	RAMP3;VIP;HLA-DRB1;PTGDR;RAMP2;FCGR3A;AVPR2;CD163;ADCYAP1R1;GGT5;POMC;FGR;ADCY4;CYSLTR2;PTGIR;HCK;FCGR2B;PTGER4;GNG2
granulocyte chemotaxis (GO:0071621)	0.00016583786955604244	0.6969532905468957	2.2215382882141443	14.55%	FCER1G;CCL11;CXCL3;CXCL10;CCL14;CXCL1;CCL4;CCL13;CXCL2;CCL2;CXCL8;ITGB2;PLA2G1B;CCL21;S100A12;LGALS3;CCL5
sister chromatid segregation (GO:0000819)	0.01924820916827626	-0.6571103062422246	-2.217247433231511	27.58%	TOP2A;NUSAP1;PLK1;SPAG5;KIFC1;NCAPG2;ZWINT;ZNF207;SMC1A;SMC4
negative regulation of axon extension (GO:0030517)	0.024397841659406297	-0.5812539603810403	-2.1924620840999065	23.30%	SEMA3A;SEMA4G;SEMA4F;SEMA7A;SEMA4D;SEMA6D;SEMA5B;RTN4;SEMA5A;DIP2B;SEMA3C;SEMA4B;MT3
regulation of purine nucleotide metabolic process (GO:1900542)	0.022587184228079284	-0.566052842273819	-2.1897307266540778	43.56%	NUP210;GCK;NUP93;PGAM1;NUP155;NUP58;POM121;HIF1A;NDC1;RANBP2;POM121C;SEH1L;TPR;NUP50;NUP107;EP300;NUP214
regulation of carbohydrate catabolic process (GO:0043470)	0.022587184228079284	-0.566052842273819	-2.1897307266540778	43.56%	NUP210;GCK;NUP93;PGAM1;NUP155;NUP58;POM121;HIF1A;NDC1;RANBP2;POM121C;SEH1L;TPR;NUP50;NUP107;EP300;NUP214
defense response to bacterium (GO:0042742)	0.0006030467983856088	0.6195734338935714	2.1684436746549216	14.10%	FCER1G;CTSG;TLR2;STAB1;MPEG1;RNASE6;PLA2G2A;FGR;COLEC12;SELP;TNFRSF14;LYZ;GNLY;TLR4;HLA-E;PGLYRP1;LCN2;PLA2G1B;ANG;PYCARD;LTF;OAS2;S100A12;OAS3;IL12A
ganglion development (GO:0061548)	0.027678345890472442	-0.8203118117147213	-2.167305821697171	2.70%	NRP2;TUBB3;FZD3;SEMA3A
blood circulation (GO:0008015)	0.000690991123150177	0.6852961986679416	2.1562271744609727	12.31%	MEOX2;CXCL10;DLL4;ACVRL1;NPR1;AVPR1A;C3AR1;ACE2;F5;SERPING1;TNNI3;MYL2;CXCL12;COL4A3
cellular response to molecule of bacterial origin (GO:0071219)	0.0007016217558140258	0.6367306375225237	2.152524988176906	13.22%	CD14;CXCL3;LY96;CTSG;CXCL10;TLR2;CARD16;CXCL1;PDCD1LG2;CXCL2;CCL2;CXCL8;TLR4;CASP1;PYCARD;TNFRSF1B;CD68;FCGR2B
positive regulation of telomere maintenance (GO:0032206)	0.03181846821694647	-0.6095550778099892	-2.1472654723204845	29.62%	PKIB;SLX1A;PRKCQ;ATM;TNKS;MAPK1;ATRX;SLX4;MAPKAPK5;RAD50;DHX36
peptidyl-serine phosphorylation (GO:0018105)	0.030934621877586846	-0.3917817259941142	-2.1457922809822696	37.67%	PNCK;CAMK1D;MAPK13;CDK1;PLK1;PRKCQ;MAP3K13;PDK3;CSNK1G1;PRKCZ;ATM;TNKS;MASTL;PRKDC;WNK1;DYRK2;MAPK1;BRSK1;MTOR;TTBK2;MAST3;MAPKAPK5;PRKCA;CAMK2A;PDPK1;ATR;SBK1;ROCK1;AURKA;PKD1;GSK3B;ULK2;PIKFYVE;MAPK14;NEK6;DYRK4;CSNK1A1;DYRK1A;STK39;STK4;PRKCI;CDK2;HIPK2;HIPK1
axon extension (GO:0048675)	0.03187203466175614	-0.5736611746001916	-2.13944906792825	15.79%	NRP2;SLIT3;SEMA3A;AUTS2;ALCAM;USP9X;SEMA5B;SEMA5A
double-strand break repair via homologous recombination (GO:0000724)	0.03163913707562713	-0.46895114131140586	-2.137004164328579	29.27%	ERCC5;SLX1A;MCMDC2;MMS22L;GINS2;RAD51D;GEN1;MCM8;REV3L;ERCC4;MCM6;ZFYVE26;SLX4;BRCA1;MCM4;RAD50;MCM2;NIPBL;RBBP8
mitotic nuclear division (GO:0140014)	0.03234632089184181	-0.5008122910837909	-2.13086712344619	27.58%	TPX2;NUSAP1;PLK1;KIF11;SPAG5;KIFC1;NCAPG2;MAP9;ZWINT;ZNF207;SMC1A;KIF3B;STAG1;SMC4
lymphocyte chemotaxis (GO:0048247)	0.0008291893477802123	0.8394365563398256	2.13046343145006	14.55%	CCL11;CXCL10;CCL14;CCL4;CH25H;CCL13;CCL2;CCL21;CCL5
cellular response to lipopolysaccharide (GO:0071222)	0.0010503065071882688	0.624557640626187	2.113763410212328	14.55%	CD14;CXCL3;LY96;TNF;CTSG;CXCL10;CARD16;CXCL1;PDCD1LG2;CXCL2;CCL2;CXCL8;TLR4;HCK;CASP1;PYCARD;TNFRSF1B;CD68;CCL5
cellular response to interferon-gamma (GO:0071346)	0.0017102030297966879	0.5921314666630382	2.102869009182855	17.90%	HLA-DRB5;CCL11;AIF1;HLA-DRA;HLA-DRB1;TLR2;CCL14;CCL4;CCL13;CCL2;HLA-DPA1;HLA-DQB1;TLR4;HCK;HLA-E;CASP1;MT2A;CCL21;OAS2;HLA-B;LGALS9;OAS3;CCL5;IFI30;AQP4;GBP4
mitotic cytokinesis (GO:0000281)	0.04348523989649351	-0.5251487329826623	-2.1004833487381287	33.81%	KIF20A;NUSAP1;PLK1;KIF23;USP8;CKAP2;ECT2;RACGAP1;EFHC1;ANK3;ROCK1;STMN1;APC;CUL7;MYH10;SON
vasculature development (GO:0001944)	0.0018534820715087098	0.7731396441844021	2.096571493247996	11.37%	SOX18;CDH5;APLNR;PDGFRB;TCF21;ACVRL1;NOTCH4;FOXF1;FLT4
monocyte chemotaxis (GO:0002548)	0.0017505108453137813	0.8013746672043731	2.095294495684441	14.55%	CCL11;CCL14;FOLR2;CCL4;CCL13;CCL2;CCL21;S100A12;LGALS3;CCL5
mitotic sister chromatid segregation (GO:0000070)	0.05036790998017346	-0.4107172898318577	-2.082995104808752	14.36%	PRC1;CDK1;TTN;NUSAP1;PLK1;KIF2C;KIF23;SPAG5;KIFC1;DLGAP5;NCAPG2;CCNB1;SPDL1;ZWINT
interstrand cross-link repair (GO:0036297)	0.048829782328818745	-0.4977737046539079	-2.082231453288228	26.21%	SLX1A;FANCI;FANCA;FANCC;ERCC6L2;MCM8;MSH6;ERCC4;RNF8;SLX4;FANCF;ATR
negative regulation of execution phase of apoptosis (GO:1900118)	0.05366209917540576	-0.7531042570849091	-2.0681075105612887	2.27%	MTRNR2L1;MTRNR2L8;MTRNR2L6;MTRNR2L10;FZD3
response to interferon-gamma (GO:0034341)	0.0032294743018808267	0.6260222109458606	2.065950229704686	17.90%	CCL11;AIF1;TLR2;CCL14;CCL4;CCL13;CCL2;IFITM1;HLA-DPA1;CD74;TLR4;CASP1;CCL21;LGALS9;CCL5;CD40;BST2;AQP4;GBP4
protein N-linked glycosylation (GO:0006487)	0.05440226606058377	-0.4636879401989047	-2.063242595891377	22.52%	SLC39A8;DERL3;MGAT4C;MAN1C1;MGAT3;ALG14;ALG10B;ALG11;ST6GAL1;ST3GAL1;ENTPD5;UGGT1;ALG13;ALG9;MGAT4A
modification-dependent protein catabolic process (GO:0019941)	0.05293257521275972	-0.35317903583216637	-2.062787668732029	33.71%	ATXN3;PTTG1;FEM1A;CDC20;PLK1;BUB1B;MAD2L1;KLHL25;ANAPC1;MDM2;RNF217;FBXO22;RNF215;CHFR;NEDD4;ARIH1;ZNRF3;FBXO10;RNF8;RNF213;MIB1;RNF43;BIRC6;RC3H2;UBR4;FBXL4;SMURF2;SIAH1;TTC3;KLHL3;AURKA;UBA1;CBL;CUL3;FBXO45;AREL1;RNF150;TRIP12;KLHL8;RC3H1;PCYOX1L;NDFIP2
positive regulation of immune response (GO:0050778)	0.0035655141954549123	0.6613043147845845	2.0596103267283383	16.70%	HLA-DRA;HLA-DMB;HLA-DRB1;SASH3;PCK1;CD74;ITGB2;ITGAM;PLA2G1B;PYCARD;FCGR2B;LGALS9;CCL5;CD1D
protein sumoylation (GO:0016925)	0.05535919276096571	-0.494630111478808	-2.0555285044688856	43.56%	NUP210;RNF212;NUP93;PIAS2;NUP155;NUP58;POM121;ZNF451;NDC1;RANBP2;POM121C;BCL11A;SEH1L;RANGAP1;PIAS1;TPR;NUP50;NUP107;NUP214
regulation of cellular localization (GO:0060341)	0.05491816056541832	-0.4831058211411917	-2.0528404206172137	27.77%	UNC13D;PARD6B;WWC1;STXBP4;SPAG5;BRSK2;FER;TTL;LYN;STXBP2;MAD1L1;BRSK1;CDK16;DYNC1H1;KIAA1614
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	0.05307410616252645	-0.5657810499359794	-2.0490091758227074	43.56%	NUP210;NUP93;NUP155;NUP58;POM121;NDC1;RANBP2;XPOT;POM121C;SEH1L;TPR;NUP50;NUP107;NUP214
tRNA export from nucleus (GO:0006409)	0.05307410616252645	-0.5657810499359794	-2.0490091758227074	43.56%	NUP210;NUP93;NUP155;NUP58;POM121;NDC1;RANBP2;XPOT;POM121C;SEH1L;TPR;NUP50;NUP107;NUP214
extracellular matrix disassembly (GO:0022617)	0.004224917152975367	0.6649758830160329	2.0465885134626753	17.77%	PRSS2;TPSAB1;PRSS1;CTSG;MMP19;KLKB1;CMA1;MMP2;CTSK;CTRB1;ADAMTS4;LCP1;CTSS;CTRB2
regulation of smooth muscle cell proliferation (GO:0048660)	0.004937445661782173	0.6253554695043213	2.0360317903191154	16.11%	APOD;OGN;AIF1;VIP;TNF;PDGFRB;HES5;PTGIR;ANG;IL12A;IGF1;IGFBP3;CCL5;ID2
