Term	fdr	es	nes	gene %	lead_genes
mitotic spindle organization (GO:0007052)	0.0066904661275314775	-0.5433676995891826	-2.565629345270111	20.28%	TPX2;CDC20;BIRC5;BUB1;PLK1;KIFC1;KIF2C;ZWINT;CCNB1;AURKA;MAD1L1;STMN1;MAP9;RCC2
modification-dependent protein catabolic process (GO:0019941)	0.004683326289272034	-0.5133711729632421	-2.4922920476059782	46.59%	PTTG1;CDC20;PLK1;ATXN3;KLHL25;SPSB4;FEM1A;AURKA;ZNRF3;ANAPC1;FBXO22;RNF217;MDM2;CHFR;RNF8;ARIH1;UBE2S;MIB1;UBA1;UBR4;RC3H2;FBXL7;ANAPC11;UBE2A;RNF146;PSMD14;UBE2D1;ANAPC4;PSMD13;HERPUD1;UBE2B;STUB1;RPS27A
synapse assembly (GO:0007416)	0.009366652578544068	-0.6811398053011481	-2.4168356158511077	15.33%	SDK2;FGF13;WNT5A;FARP1;PCDHB2;SDK1;LGI2;SPOCK2;FZD1
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	0.010704745804050363	-0.5246578149850641	-2.3713827497786077	16.34%	CDC20;BIRC5;BUB1;PLK1;KIF2C;ZWINT;CCNB1;AURKA;MAD1L1;STMN1
inflammatory response (GO:0006954)	0.0	0.6322018254956254	2.3527869748019263	24.86%	CD14;ACKR1;GGT5;FOLR2;AOC3;CXCL2;AIF1;CCL11;TLR4;TNFRSF4;TNFAIP6;CCL2;HPR;PTGIR;SIGLEC1;NRROS;ITGB2;AFAP1L2;PTGDR;CCL14;FPR1;LYZ;CCL21;MGLL;SERPINA3;PTGER4;CSF1R;LGALS9;TLR2;CXCR4;CD40;HYAL1;S100A9;C5AR1;TBXA2R;ANXA1;LAT;APOL3
regulation of cell cycle process (GO:0010564)	0.018198067866885617	-0.5215331307320645	-2.3215031548518583	25.97%	KIF20A;BUB1;PLK1;MKI67;PDXP;RACGAP1;ECT2;CEP250;AURKA;MAD1L1;MAP9;KIF13A;TTL;SFRP1;OBSL1;CUL7
positive regulation of neuron projection development (GO:0010976)	0.01672616531882869	-0.5127405277731947	-2.3092202143123384	17.09%	MDK;ROR2;PTK7;WNT5A;GPC2;BMP7;BMP5;TENM3;CAMK1D;DPYSL3;ROR1;FZD1;ARSB;LYN
sister chromatid segregation (GO:0000819)	0.05161216726952854	-0.8359473059531273	-2.193330852628533	4.54%	TOP2A;PLK1;KIFC1;ZWINT
defense response to bacterium (GO:0042742)	0.000440557875500694	0.6538377612332198	2.1926046458675437	22.08%	PLA2G2A;FCER1G;STAB1;TLR4;RNASE6;FGR;SELP;MPEG1;HLA-E;TNFRSF14;LYZ;GNLY;PYCARD;ANG;TLR2;GBP4;OAS3;OAS2;S100A9
mitotic sister chromatid segregation (GO:0000070)	0.050345757609674364	-0.5916098202914812	-2.182759341629446	11.66%	PLK1;KIFC1;CDK1;KIF2C;ZWINT;CCNB1;TTN
