Term	fdr	es	nes	gene %	lead_genes
muscle contraction (GO:0006936)	0.0	0.7492751504238155	2.915874924570495	15.19%	MYL2;DES;MYH7;MYL3;TNNI3;MYH6;MYL7;ACTN2;ACTC1;FXYD1;MYBPC3;TRDN;ACTA1;TNNT2;SMPX;TNNT3;MYOM3;CASQ2;MYL4;CRYAB;HRC;TNNC1;TNNT1;MYOM2;MYOT;KCNJ12;TCAP;MYOM1;LMOD2;ANKRD2;ALDOA;SGCA;TMOD1;TPM2;MYL9;KLHL41;MYL1;ADRA1A;CKMT2;LMOD3;ACTG2;CAV3;SSPN;ACTA2;SLC8A1;SNTA1;KCNIP2;LMOD1;MYBPC1;P2RX6;TNNC2;TPM1;HCN4;MYH11
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	0.0	-0.48421609654982894	-2.8557556784664038	28.06%	CENPF;CENPE;KNTC1;KIF11;BUB1B;KNL1;STIL;BUB1;KIF4A;DLGAP5;PLK1;BIRC5;ESPL1;CDC20;KIF2C;NUSAP1;CENPK;KIF18A;SGO2;CDCA8;EML4;ZWINT;CCNB1;TTK;AURKB;CENPU;MAD2L1;RCC1;CEP126;GPSM2;NDC80;NEK6;CENPI;SKA1;SGO1;KIF2A;DYNC1H1;TAOK1;CENPL;TNKS;INCENP;NUF2;ITGB3BP;ZWILCH;EFHC1;RCC2;TACC3;CENPO;SETD2;RANBP2;STMN1;CENPP;SPDL1;KIF3B;CENPC;NUP160;XPO1;SEH1L
muscle filament sliding (GO:0030049)	0.0	0.8393030946293141	2.79656669558498	6.66%	MYL2;DES;MYH7;MYL3;TNNI3;MYH6;ACTN2;ACTC1;MYBPC3;ACTA1;TNNT2;TNNT3;MYL4;TNNC1;TNNT1;TCAP;TMOD1;TPM2;MYL1
actin-myosin filament sliding (GO:0033275)	0.0	0.8393030946293141	2.79656669558498	6.66%	MYL2;DES;MYH7;MYL3;TNNI3;MYH6;ACTN2;ACTC1;MYBPC3;ACTA1;TNNT2;TNNT3;MYL4;TNNC1;TNNT1;TCAP;TMOD1;TPM2;MYL1
sister chromatid segregation (GO:0000819)	0.0	-0.6462175224508211	-2.754696499953008	13.25%	TOP2A;SPAG5;KIF18B;PLK1;KIFC1;ESPL1;NUSAP1;NCAPG2;CENPK;KIF18A;SGO2;CDCA8;ZWINT;NDC80;SGO1
striated muscle contraction (GO:0006941)	0.0	0.7933238423976329	2.7105153707903837	14.53%	MYH7;MYL3;TNNI3;MYH6;RYR2;MYBPC3;TNNT2;SMPX;TNNT3;CASQ2;MYL4;CSRP3;RCSD1;TNNC1;TNNT1;ATP1A2;MYH14;TCAP;ALDOA;SCN5A;KLHL41;KCNQ1;LMOD3;SCN4B;SLC8A1;STAC2;TNNC2;TPM1
mitotic spindle checkpoint signaling (GO:0071174)	0.0	-0.7058593737749151	-2.68484924551774	12.80%	CENPF;KNTC1;BUB1B;BUB1;PLK1;CDC20;ZWINT;TTK;MAD2L1;TRIP13;ATM;APC
spindle assembly checkpoint signaling (GO:0071173)	0.0	-0.7058593737749151	-2.68484924551774	12.80%	CENPF;KNTC1;BUB1B;BUB1;PLK1;CDC20;ZWINT;TTK;MAD2L1;TRIP13;ATM;APC
mitotic spindle assembly checkpoint signaling (GO:0007094)	0.0	-0.7058593737749151	-2.68484924551774	12.80%	CENPF;KNTC1;BUB1B;BUB1;PLK1;CDC20;ZWINT;TTK;MAD2L1;TRIP13;ATM;APC
heart contraction (GO:0060047)	0.0	0.797982428331532	2.6534140609254933	10.41%	MYL2;MYH7;MYL3;TNNI3;MYH6;ACTC1;RYR2;MYBPC3;TRDN;TNNT2;CASQ2;MYL4;CSRP3;TNNC1;ATP1A2;TCAP;SCN5A;SGCD;SGCG;KCNQ1;SCN4B;SLC8A1
