Term	fdr	es	nes	gene %	lead_genes
muscle filament sliding (GO:0030049)	0.0	0.8588725296575018	2.807683828370449	6.81%	MYL2;DES;MYH7;TNNI3;MYL3;TCAP;MYBPC3;TNNC1;ACTA1;MYH6;ACTN2;ACTC1;TNNT2;TNNT1;TNNT3;TMOD1;MYL4
actin-myosin filament sliding (GO:0033275)	0.0	0.8588725296575018	2.807683828370449	6.81%	MYL2;DES;MYH7;TNNI3;MYL3;TCAP;MYBPC3;TNNC1;ACTA1;MYH6;ACTN2;ACTC1;TNNT2;TNNT1;TNNT3;TMOD1;MYL4
collagen fibril organization (GO:0030199)	0.0012011013637062413	-0.43304900439511984	-2.755270289265105	15.71%	LOX;COL8A2;COL1A1;LOXL2;COL1A2;COL5A2;PLOD2;P4HA2;COL5A1;COL12A1;COL11A1;COL14A1;COL6A3;ATP7A;ADAMTS2;PXDN;DDR2;TGFB2;DST;P4HA1;COL3A1;COL4A1;P3H4;NF1;COL8A1;COL4A4;TGFBR1
myofibril assembly (GO:0030239)	0.0	0.8016563628071024	2.7483624072905966	4.10%	MYL2;TCAP;MYH6;CSRP3;ACTN2;LMOD2;ACTC1;MYOM2;SYNPO2L;TNNT2;TNNT1;KLHL41;TNNT3;MYLK3;LMOD3;PGM5;OBSCN;CASQ1;MYPN;TMOD1
striated muscle contraction (GO:0006941)	0.0	0.7938877751350158	2.740106512588253	8.09%	MYH7;TNNI3;MYL3;TCAP;MYBPC3;TNNC1;MYH6;CSRP3;CASQ2;SMPX;RYR2;TNNT2;TNNT1;KLHL41;TNNT3;ATP1A2;LMOD3;KCNH2;MYH14;SCN4B;KCNQ1;MYL4;SCN5A
heart contraction (GO:0060047)	0.0	0.7944735383631293	2.7135239737128987	14.36%	MYL2;MYH7;TNNI3;MYL3;TCAP;MYBPC3;TNNC1;MYH6;CSRP3;CASQ2;ACTC1;RYR2;TNNT2;ATP1A2;TRDN;KCNH2;SCN4B;KCNQ1;MYL4;SCN5A;SGCG;SCN2B;SCN1B
muscle contraction (GO:0006936)	0.0	0.6755783727514476	2.642275808616054	10.59%	MYL2;DES;MYH7;TNNI3;MYL3;TCAP;MYBPC3;TNNC1;ACTA1;MYH6;MYL7;HRC;ACTN2;CASQ2;SMPX;ANKRD2;LMOD2;ACTC1;FXYD1;KCNIP2;MYOM2;TNNT2;MYOM3;CKMT2;TNNT1;KLHL41;TNNT3;LMOD3;TRDN;MYH11;PABPN1;TMOD1;CAV3;MYL4;MYOT;MYOM1;CACNA1H;SGCA
cardiac muscle contraction (GO:0060048)	0.0	0.7900982179568603	2.623539017940293	8.09%	MYH7;TNNI3;MYL3;TCAP;MYBPC3;TNNC1;MYH6;CSRP3;CASQ2;RYR2;TNNT2;ATP1A2;KCNH2;SCN4B;KCNQ1;MYL4;SCN5A
sarcomere organization (GO:0045214)	0.0	0.8266059684937891	2.611808763753756	9.83%	TCAP;MYH6;CSRP3;ACTN2;LMOD2;MYOM2;SYNPO2L;TNNT2;TNNT1;TNNT3;MYLK3;OBSCN;CASQ1;MYPN;MYOZ2;FHOD3
regulation of heart contraction (GO:0008016)	0.0	0.7007412353671119	2.605374916304349	17.27%	DES;MYH6;HRC;CASQ2;FXYD1;NKX2-5;NPPA;KCNIP2;ATP1A3;RYR2;HSPB7;TNNT2;ATP1A2;TRDN;CYP2J2;S100A1;FXYD6;CASQ1;TNNI3K;PLN;CAV3;KCNQ1;ABCC9;TBX2;GJA5;ATP1B2;NPR1;KCNJ11;CACNA1H;CALM3;RNF207;ATP2A3;HCN4;DMPK;ACE2;ATP2A2
ventricular cardiac muscle tissue development (GO:0003229)	0.0	0.8140834809681939	2.5295533071128693	9.32%	MYL2;MYH7;TNNI3;MYL3;MYBPC3;TNNC1;MYH6;TNNT2;HAND1;DSG2;TBX5;HOPX;IRX3;PROX1
