	Gene	log2FoldChange	-log10FDR	product
20	DPPA4	-12.143818652149609	14.87684343325097	-180.6616887698225
24	FN1	6.558959214516159	25.98271203551501	170.41954852346112
36	IGFBP7	11.585405448945467	12.710665184341607	147.2582096863927
50	COL3A1	11.009174482537846	11.782402323634557	129.71452300435217
52	TPM2	3.2915591542296565	39.25675041533196	129.2159161948948
66	SLC7A3	-10.947602676501312	10.504957748916944	-115.00410356857633
73	FHL2	3.615080881903928	30.20584933606554	109.196588456481
85	AHNAK	7.759223044765878	13.188099359024182	102.32940446320254
101	IL6ST	5.392606398683145	17.848212916412194	96.24838717810356
104	PDZD4	-5.950457598550347	15.963478567069432	-94.99000233871392
106	COL5A2	5.147655950651191	18.344102755079074	94.4291297065397
114	IMPA2	-4.472882992256839	20.429561615901232	-91.37903869102776
123	COL5A1	6.7413025739744326	13.175265181244862	88.8184490791217
133	PIM1	-3.228388430792432	26.70405647964383	-86.21106699410981
141	SPRY4	-4.361090812001256	19.08063764766538	-83.21239353235873
145	CAV2	6.447943873939544	12.73270261307628	82.09975181267922
153	CRYAB	9.680738328012056	8.388428086612866	81.20617728984601
157	ALPL	-9.230914256344544	8.596433652438444	-79.35294195601404
187	NAA38	5.047047109934306	14.468945562761274	73.02544988633109
189	TGFBI	4.908997638479709	14.702735917306356	72.1756958972477
202	CCNE1	-3.7968670606497	18.57276546353769	-70.51832141367862
203	EPAS1	8.303314541543141	8.492124863592874	70.51278386847078
210	CDC42EP3	3.135785488123544	21.807296370327148	68.3830034932811
218	HTRA1	4.001961889771452	16.979808387125864	67.95254606089937
268	PPIC	3.895580740012417	15.56069588927747	60.6179472074597
269	SQSTM1	3.2300514224979544	18.764386437732533	60.609933105499294
270	LMO7	4.740063782711268	12.78617260689981	60.60727369346071
275	FNBP1L	-2.8598242833223058	20.99009335238826	-60.02797867836205
278	CACNG7	-7.485416329657427	7.996697254757062	-59.85860821408523
286	DKK3	3.639975738613682	16.164571486234994	58.83864803498189
290	CAST	3.613425285791804	16.247002348026164	58.70732910267656
330	PELI1	-3.364011281330955	16.055875262490932	-54.01214551466211
334	MBNL1	3.962081638566957	13.516332348660187	53.55281221939513
343	NEXN	5.838701245604739	8.950257899426047	52.25788194586252
344	SOCS1	-5.325503947546594	9.80136545038918	-52.19721039739438
362	SH3PXD2A	5.577189285523152	9.136600600917896	50.95655097754367
368	MSRB3	8.056500905042382	6.308651968103328	50.82566029062186
375	TNC	6.805980706501201	7.268291429410825	49.46785123779811
380	CDYL	-2.691451345405843	18.135198485055483	-48.81000436180458
390	NKAIN1	-7.84429459466203	6.141748190237269	-48.17768213045352
409	GSTM3	7.337586104840833	6.336809918495843	46.496888406972666
415	DUSP6	-4.251958558426994	10.841203947096032	-46.09634990650748
421	FZD7	-3.880158075098055	11.758202489236693	-45.623684337249806
425	MARCKSL1	-3.686062480622789	12.300022812417309	-45.33865259965583
431	DLC1	5.652438807559933	7.941052958216599	44.886315913912114
440	GRPR	-8.2989911131364	5.333549676721969	-44.26308136858714
445	PPP1R3C	6.437663633978172	6.822177159284569	43.91888180288278
449	MXRA8	4.942823296049526	8.83706712450379	43.68006125175073
450	FBXO32	7.703841977238653	5.667476349949894	43.6613422097513
453	GALNT12	-4.927549502491624	8.816085139274529	-43.441695941956006
463	PALLD	4.861279979308234	8.818515067800508	42.869270746326606
464	TEAD2	-3.201403173011623	13.38419938699856	-42.848218385757406
466	ATP10D	6.844721603593441	6.253566085093638	42.80391888213968
470	IFIT1	6.8314458931000095	6.245717732096628	42.66728275039341
